Year,avg_pre_tax_income (p99p100),avg_pre_tax_income (p90p100),avg_pre_tax_income (p50p90),avg_pre_tax_income (p0p50),avg_pre_tax_income (p0p100)
1961,1321924.625,756903.9375,356730.9063,153374.7813,295070.125
1962,1321924.625,756903.9375,356730.9063,153374.7813,312310.3125
1963,1321924.625,756903.9375,356730.9063,153374.7813,318720.9375
1964,1443913.125,826726.875,403162.1875,183262.3594,335568.75
1965,1443913.125,826726.875,403162.1875,183262.3594,346440.2188
1966,1494066.125,855447.9375,438706.4688,214784.9063,368419.8438
1967,1494066.125,855447.9375,438706.4688,214784.9063,390208.5625
1968,1552168.125,888733.8125,484777.25,257142.4063,411355.5
1969,1552168.125,888733.8125,484777.25,257142.4063,420147.5313
1970,1552168.125,888733.8125,484777.25,257142.4063,451477.2188
1971,1552168.125,888733.8125,484777.25,257142.4063,460942.2813
1972,1826170.125,1015682.125,554151.5625,280312.6875,463385.1563
1973,1826170.125,1015682.125,554151.5625,280312.6875,492099.125
1974,1826170.125,1015682.125,554151.5625,280312.6875,503872.3125
1975,1826170.125,1015682.125,554151.5625,280312.6875,518053.0938
1976,2005218.5,1143758.5,633764.4375,320204.3438,527983.8125
1977,2005218.5,1143758.5,633764.4375,320204.3438,537685.4375
1978,2005218.5,1143758.5,633764.4375,320204.3438,541714.25
1979,2005218.5,1143758.5,633764.4375,320204.3438,538982.4375
1980,1922317.625,1170266.75,667673.125,345181.6563,556686.75
1981,1922317.625,1170266.75,667673.125,345181.6563,560470.3125
1982,1922317.625,1170266.75,667673.125,345181.6563,565597.1875
1983,1922317.625,1170266.75,667673.125,345181.6563,573716.5625
1984,1922317.625,1170266.75,667673.125,345181.6563,573867.625
1985,2544593.25,1298450.625,678399.3125,358466.5,580438
1986,2544593.25,1298450.625,678399.3125,358466.5,587977.375
1987,2544593.25,1298450.625,678399.3125,358466.5,578473.75
1988,2851231.25,1326384.625,691495.5,366959,592716.125
1989,3217667.25,1414037.125,687562.875,359199.3125,596028.5
1990,4254626.5,1367609.25,680752.5,341860.8438,579992.375
1991,5102846,1497598.125,704962.8125,352696.7188,608093.25
1992,4954196.5,1586913.75,560841.875,214474.6094,490265.4375
1993,4858771,1495724.125,497267.7188,175490.7969,436224.9063
1994,4243668.5,1455591.25,395741.9688,109703.3828,358707.5938
1995,4255307.5,1287106.75,331422.5,83868.45313,303213.9063
1996,5330569.5,1626247.25,354014.7813,64632.72266,336547
1997,5213438,1549641.625,363598.9063,85290.53125,343049
1998,4842991,1383142.25,338708,92116.35938,319855.5938
1999,6503192.5,1651459.25,359467.7813,100904.1406,359385.125
2000,8350209.5,1944960.75,385865.2813,109492.8984,403588.625
2001,10560879,2129470.5,397905.3125,115705.7188,429962.0313
2002,11025533,2158339.5,430186.7813,124584.6328,450200.9688
2003,11533635,2288879.75,455203.4688,128198.9609,475068.875
2004,11872195,2516708.75,492358.7188,146092.9531,521660.8125
2005,13794420,2624542,528349.5625,159766.2813,553677.1875
2006,15240266,2951859,551203.375,167551.0938,599442.8125
2007,17575458,3200557.25,608732.25,179105.0313,653101.125
2008,17026752,3540333.75,584049.5,182712.7344,679009.5625
2009,13005891,3049577.5,550357.4375,178193.7188,614197.5625
2010,12838098,3002325.75,597493.375,203353.3438,640906.625
2011,14799926,3312304.75,619337.5,220218.9219,689074.9375
2012,14095702,3234685,672065.9375,236176.9375,710383.3125
2013,14914096,3344982,647568.25,228192.5156,707621.75
2014,14504552,3248327.75,667124.8125,239135.75,711250.5625
2015,13870410,3119866,642438.8125,232903.6875,685413.9375
