Percentile,Year,pretaxincome_over_total_pretax_income,mean_percentile
p90p100,1961,0.256516606,0.327409208
p90p100,1962,0.256516606,0.327409208
p90p100,1963,0.256516606,0.327409208
p90p100,1964,0.246365875,0.327409208
p90p100,1965,0.246365875,0.327409208
p90p100,1966,0.232193783,0.327409208
p90p100,1967,0.232193783,0.327409208
p90p100,1968,0.216050074,0.327409208
p90p100,1969,0.216050074,0.327409208
p90p100,1970,0.216050074,0.327409208
p90p100,1971,0.216050074,0.327409208
p90p100,1972,0.219187453,0.327409208
p90p100,1973,0.219187453,0.327409208
p90p100,1974,0.219187453,0.327409208
p90p100,1975,0.219187453,0.327409208
p90p100,1976,0.216627583,0.327409208
p90p100,1977,0.216627583,0.327409208
p90p100,1978,0.216627583,0.327409208
p90p100,1979,0.216627583,0.327409208
p90p100,1980,0.210219979,0.327409208
p90p100,1981,0.210219979,0.327409208
p90p100,1982,0.210219979,0.327409208
p90p100,1983,0.210219979,0.327409208
p90p100,1984,0.210219979,0.327409208
p90p100,1985,0.22370185,0.327409208
p90p100,1986,0.22370185,0.327409208
p90p100,1987,0.22370185,0.327409208
p90p100,1988,0.223780736,0.327409208
p90p100,1989,0.23724319,0.327409208
p90p100,1990,0.235797808,0.327409208
p90p100,1991,0.24627769,0.327409208
p90p100,1992,0.323684603,0.327409208
p90p100,1993,0.342879117,0.327409208
p90p100,1994,0.405787677,0.327409208
p90p100,1995,0.424488038,0.327409208
p90p100,1996,0.483215481,0.327409208
p90p100,1997,0.451726049,0.327409208
p90p100,1998,0.432427079,0.327409208
p90p100,1999,0.459523559,0.327409208
p90p100,2000,0.481916636,0.327409208
p90p100,2001,0.495269448,0.327409208
p90p100,2002,0.479416877,0.327409208
p90p100,2003,0.481799603,0.327409208
p90p100,2004,0.482441574,0.327409208
p90p100,2005,0.474020273,0.327409208
p90p100,2006,0.492433816,0.327409208
p90p100,2007,0.490055382,0.327409208
p90p100,2008,0.521396756,0.327409208
p90p100,2009,0.496514082,0.327409208
p90p100,2010,0.468449831,0.327409208
p90p100,2011,0.480688602,0.327409208
p90p100,2012,0.455343574,0.327409208
p90p100,2013,0.472707629,0.327409208
p90p100,2014,0.456706524,0.327409208
p90p100,2015,0.455179811,0.327409208
50p90p,1961,0.483587921,0.439173741
50p90p,1962,0.483587921,0.439173741
50p90p,1963,0.483587921,0.439173741
50p90p,1964,0.480571806,0.439173741
50p90p,1965,0.480571806,0.439173741
50p90p,1966,0.476311445,0.439173741
50p90p,1967,0.476311445,0.439173741
50p90p,1968,0.471394956,0.439173741
50p90p,1969,0.471394956,0.439173741
50p90p,1970,0.471394956,0.439173741
50p90p,1971,0.471394956,0.439173741
50p90p,1972,0.478350669,0.439173741
50p90p,1973,0.478350669,0.439173741
50p90p,1974,0.478350669,0.439173741
50p90p,1975,0.478350669,0.439173741
50p90p,1976,0.480139315,0.439173741
50p90p,1977,0.480139315,0.439173741
50p90p,1978,0.480139315,0.439173741
50p90p,1979,0.480139315,0.439173741
50p90p,1980,0.479747802,0.439173741
50p90p,1981,0.479747802,0.439173741
50p90p,1982,0.479747802,0.439173741
50p90p,1983,0.479747802,0.439173741
50p90p,1984,0.479747802,0.439173741
50p90p,1985,0.467508525,0.439173741
50p90p,1986,0.467508525,0.439173741
50p90p,1987,0.467508525,0.439173741
50p90p,1988,0.466662139,0.439173741
50p90p,1989,0.461429507,0.439173741
50p90p,1990,0.469490677,0.439173741
50p90p,1991,0.463720173,0.439173741
50p90p,1992,0.457582235,0.439173741
50p90p,1993,0.455973715,0.439173741
50p90p,1994,0.441297561,0.439173741
50p90p,1995,0.437212795,0.439173741
50p90p,1996,0.420761168,0.439173741
50p90p,1997,0.42396149,0.439173741
50p90p,1998,0.423576117,0.439173741
50p90p,1999,0.400092036,0.439173741
50p90p,2000,0.382434249,0.439173741
50p90p,2001,0.37017715,0.439173741
50p90p,2002,0.382217556,0.439173741
50p90p,2003,0.383273691,0.439173741
50p90p,2004,0.377531678,0.439173741
50p90p,2005,0.381702274,0.439173741
50p90p,2006,0.367810488,0.439173741
50p90p,2007,0.372825712,0.439173741
50p90p,2008,0.344059676,0.439173741
50p90p,2009,0.35842371,0.439173741
50p90p,2010,0.372905105,0.439173741
50p90p,2011,0.35951823,0.439173741
50p90p,2012,0.378424376,0.439173741
50p90p,2013,0.366053313,0.439173741
